journalist_explanation,generated_explanation,objective_difference
"O’Rourke said some years in El Paso, ""in a city of almost 700,000, we had five murders the entire year. Our average over the last 10 years is 18 (murders per year). We exceeded that average just on one day"" after a gunman opened fire at a Walmart in the city. Let’s take this statement piece by piece. El Paso’s population was approximately 682,669 in 2018, according to U.S. Census estimates. In 1964 and 2010, five murders were recorded over the year in the city. The average number of murders per year in the city was 18.1 over the past 10 years. On Saturday, 20 people were killed and more than two dozen were injured after a gunman opened fire at a Walmart in El Paso. Two people died later at the hospital. We rate this claim True. TRUE – The statement is accurate and there’s nothing significant missing.","O'Rourke claims that some years in El Paso had as few as five murders, but the evidence provided shows that in fact there were only two instances of this, one in 1964 and another in 2010. Additionally, while it is true that the average number of murders per year in El Paso over the last 10 years (2008-2018) is around 18, O'Rourke also mentions that on a single day, the city exceeded this average. However, the evidence does not provide information about what specifically happened on that particular day, making it unclear whether his claim is true or false.",0.6557291885522696
":Biden’s numbers were high to leave room for unaccounted costs, as his office acknowledges. The vice president’s $2 billion figure is nearly double the $1.1 billion reported by the Pentagon and largely supported by military analysts. But, those same analysts note that there are other costs related to military actions that often are not reported.Nevertheless, even the higher number supports Biden’s deeper point. The military intervention in Libya -- in addition to not resulting in a single American military fatality -- cost the country less than 1 percent what the Pentagon has spent in Iraq and Afghanistan. We rate Biden’s claim Mostly True.","The evidence indicates that while Biden is correct about there being no fatalities among American soldiers, his claim that America spent $2 billion total on the intervention in Libya is disputed by his own office. They acknowledge that the figure was ""on the high side"" and instead point to a Department of Defense estimate of $1.1 billion through September 30, 2011. This suggests that Biden's claim is an exaggeration or approximation, rather than an accurate statement.",0.6247451140847005
"Paul said that ""for every Kentuckian that has enrolled in Obamacare, 40 have been dropped from their coverage."" That’s not mathematically possible. If you take the narrowest definition of ""sign-ups,"" there would have to be 3.3 million cancellations in the state for Paul’s statement to be accurate -- and there aren’t even that many Kentuckians with private insurance plans that could theoretically be canceled. In fact, it’s reasonable to argue that more people in Kentucky have coverage through Obamacare than have been canceled. Paul’s statement is so wildly off that we rate it Pants on Fire. UPDATE, May 6, 2014: After we published this item, Paul’s office contacted us to explain how they calculated the 40-to-1 ratio of cancellations to signups. The office said that ""the numbers he used were accurate as of November of last year"" but that staffers failed ""to update the numbers for the newsletter."" Specifically, Paul’s office said that a Nov. 8, 2013, news release from the Kentucky governor’s office reported that 7,011 Kentuckians had enrolled in a private health plan through Nov. 8, compared to the 280,000 Kentuckians who the state believed at the time might be subject to cancellation notices. However, in the six months since, the number of private-plan signups has soared by a factor of 10, while the state released a smaller estimate of cancellation notices (168,000). Even in November, Paul’s estimate was cherry-picked; it excluded the 33,561 Kentuckians who enrolled in Medicaid, a program that saw its eligibility expanded under Obamacare. Even though the new numbers were available to Paul’s staff at the time the newsletter was put together, Paul’s office counted only the first two months of signups and ignored the final six months, a period when enrollment rose steadily. Our ruling stands: Pants on Fire.","The evidence provided shows that the number of cancellations in Kentucky (130,000-168,000) is far lower than 40 times the number of Kentuckians who have enrolled in Obamacare (413,410). Additionally, even using the smaller number of private-insurance signups (82,795), the discrepancy between cancellations and enrollment is not 40 times as big, but rather only twice as big.",0.6814100142919792
"Obama said that Trump’s ""foundation took money other people gave to his charity and then bought a six-foot-tall painting of himself."" Fahrenthold verified the anecdote about the painting with the painter, and his reporting found that, at the time the painting was auctioned, the vast majority of funds in the foundation’s coffers were from other people, not Trump. Based on the information available, the story seems solid. We rate Obama’s statement True.","The evidence provided by David Fahrenthold's article in the Washington Post and corroborated by the White House confirms that nearly all of the money in Donald Trump's foundation came from people other than himself, and that he used this money to buy a six-foot-tall painting of himself at an auction event.",0.7707556394108555
"Mack said Nelson voted to cut $700 billion out of Medicare, to pay for Obamacare.Medicare spending increases under Obamacare, but over 10 years, it rises more slowly that it would without the law. The money comes from reducing payments to insurance companies and hospitals.Part of the savings go to reduce prescription drug payments for Medicare recipients, as well as to provide free preventive care.Overall, the lower spending extends the solvency of Medicare by eight years.We rate the statement Mostly False.","According to PolitiFact, the Affordable Care Act reduces Medicare outlays by $716 billion, not $700 billion, as claimed. This reduction is achieved through changes in payments to insurance companies and hospitals, rather than direct cuts to beneficiaries' coverage. Additionally, the law projects that the overall Medicare budget will go up for the foreseeable future.",0.6359802445081565
"Texas Right to Life said, ""In 2005, Dan Branch tried to expand third-trimester abortions in Texas."" TThis statement would hold up if Branch's amendment loosened established limits. To the contrary, lawmakers including Branch embraced specific restrictions superseding a broad limit stating that any fetus with a severe, irreversible abnormality could be aborted in the third trimester. If Branch's proposal had been adopted, such abortions could have taken place if a fetus had a severe irreversible impairment to the brain or--Branch’s wrinkle--another vital organ. The bottom line is Branch’s proposal would have restricted such abortions more than they'd been limited, which makes this claim False. FALSE – The statement is not accurate. Click here for more on the six PolitiFact ratings and how we select facts to check. CLARIFICATION, 4:50 p.m., April 25, 2014: We added some details to the body of this article and revised the section on our ruling. The rating did not change.","The evidence shows that Dan Branch's amendment would have added an exception to an abortion restriction, allowing third-trimester abortions if a viable unborn child had irreversible damage to vital organs. However, this addition did not expand access to late-term abortions, as the existing law already allowed for third-trimester abortions under certain circumstances, including the mother's mental health. Therefore, it is inaccurate to say that Branch tried to expand third-trimester abortions in Texas.",0.6882083813349407
"At the hearing, Chaffetz presented a chart that showed the number of abortions at Planned Parenthood rising higher than the number of preventive services and cancer screenings between 2006 and 2013. But that’s inaccurate, disputed by the chart’s own, hard to read numerical labels. In fact, there were three times as many cancer screenings and prevention services as abortions in 2013. Experts in data presentation said this was an egregious example of using a chart to mislead. We rate the claim Pants on Fire.","The evidence shows that according to Planned Parenthood's annual reports from 2006 to 2013, the number of abortions performed has held relatively steady with marginal increases and a peak in 2009, while the organization now provides fewer cancer screenings and preventive services. Medical experts attribute the decline in cancer screenings to changing health guidelines rather than Planned Parenthood prioritizing abortions.",0.6260247638731292
"Shaheen said Trump’s Mexico City policy has a much broader reach compared to past Republican presidents, putting 15 times as much money ""at risk,"" as well as millions of women and families. On paper, the numbers support that comparison. Previous Republican administrations applied the abortion funding policy to family planning programs, which amount today to about $600 million. Trump included all global health spending, which is nearly $10 billion. There is no question Trump’s approach is broader and that millions more people could be affected. The White House has not clarified how it will interpret the policy. Its reach could be much narrower than the full scope of global programs, but Shaheen included the caveat that certain dollars were ""at risk,"" not that they definitely would be affected. It’s also true that organizations facing funding cuts could drop activities related to abortion and the funds would continue to flow. Given what we know so far, we rate this claim Mostly True. ","According to the evidence provided by experts such as Jennifer Kates, director of global health policy at the Kaiser Family Foundation, Trump's Mexico City policy applies to ""global health assistance furnished by all departments or agencies"" without exceptions. This includes programs that were previously exempted, like PEPFAR, which dwarfs other programs in terms of funding. While there is uncertainty surrounding the exact impact of the order and how it will be interpreted, data gathered by the Institute for Health Metrics and Evaluation shows that Trump's policy affects around 15 times more funding than previous similar policies by Republican presidents.",0.45667674769525946
"Esshaki claims that 100,000 nurses and doctors would disappear under Stevens’ ""plan for socialized medicine."" The studies Esshaki’s campaign shared make problematic assumptions and were from a group lobbying against Medicare for All. While Stevens has supported Medicare for All in the past, her current position is for a public option, and she told PolitiFact Michigan that she does not support Medicare for All. The ad comes up short in offering a fair characterization of Stevens’ views and a credible assessment of the impact of her health care policies. We rate its claims Mostly False.","The claim that Haley Stevens' plan for ""socialized medicine"" would ""eliminate 100,000 doctors and nurses"" is based on a report funded by Partnership for America's Health Care Future (PAHCF), which lobbies against Medicare for All. However, this report was not referred to in relation to Stevens' public option proposal, but rather to her past support for Medicare for All. Additionally, the reports cited in support of the claim, including one from FTI Consulting and another from PAHCF, assume worst-case scenarios regarding the effects of Medicare for All or a public option on healthcare professionals, which may not accurately reflect Stevens' actual proposals. Furthermore, experts disagree about the potential job losses under Medicare for All, with some predicting significant layoffs but also arguing that most would be in administrative roles rather than among doctors and nurses.",0.567251761022367
"Hinojosa said that if the abortion legislation passed, an El Paso resident would have to make a 550-mile trip to San Antonio for simple services like a cervical cancer screening. That’s not so; such services will continue to be available in El Paso, local experts say. This statement misses the mark so badly, it’s ridiculous. Pants on Fire! UMC-El Paso women’s health clinics Click here for addresses and contact information for the University Medical Center of El Paso Hospital’s seven Women’s Health Centers. Clinics in state Breast and Cervical Cancer Services program This state program has three main providers in El Paso -- Centro San Vicente, Project Vida and Centro de Salud Familiar La Fe -- and several satellite clinics. Click here to map such clinics across Texas. El Paso-area clinics providing health services free or at reduced cost for eligible women through the Breast and Cervical Cancer Services program.","According to multiple sources, including Adriana Valdes from the Cancer and Chronic Disease Consortium and Theresa Byrd from Texas Tech University's Paul L. Foster School of Medicine in El Paso, there are various organizations and institutions in El Paso that can provide access to cervical cancer screenings, such as clinics, hospitals, health fairs, and federally qualified health centers, making it possible for women to receive these services without having to drive 550 miles to San Antonio.",0.7425408843938295
"A video by Credo Action saidthe Obama administration is ""proposing to mine another 10 billion tons of Wyoming coal, which would unleash three times more carbon pollution than Obama's Clean Power Plan would even save through 2030."" Burning 10 billion tons of coal over the next 15 years would unleash more carbon pollution than the federal clean energy regulations expect to save in the same period of time. However, burning that much coal in that timeframe is unrealistic, and, more importantly, the government has not made such a proposal. Rather, the 10 billion tons figure refers to an estimate -- developed solely for analysis -- of the maximum amount of coal that could be available for mining in a particular region of Wyoming over the next 20 years. Credo’s statement contains an element of truth but ignores critical facts that would give a different impression, so we rate it Mostly False. Correction, Sept. 8, 2015:We revised the explanation of Greenpeace's estimate of the Clean Power Plan's emission reductions by 2030 to reflect that the organization's estimate is cumulative over 15 years, while the EPA's estimate is annual.","According to the Bureau of Land Management's own spokeswoman Kristen Lenhardt, the 10.2 billion tons of coal estimate is an ""outer-bounds estimate"" generated solely for analysis purposes and represents the maximum amount of development possible within a 20-year timeframe. The actual number of leases and acres developed will be affected by various regulatory steps and market demand shifts, making it highly unlikely that actual development will come close to this number.",0.5104372492114317
"O’Reilly got the $16 muffin story from a lengthy and thorough report issued by an independent inspector general. Additionally, the ""$16 muffin"" is how the inspector general phrased its charge of excessive spending.We reviewed the long report, and it seems to be thorough and independent, as are most reports from inspectors general. The report’s main findings are that the government is paying for items that appear too costly when invoices are reviewed. Even if the $16 muffin is fiction, then it seems reasonable to believe that the Justice Department’s own spending records are incomplete or inaccurate.On the other hand, a full reading of the report showed the $16 muffins included beverages and possibly fruit, as well as meeting space. While a $16 breakfast is no bargain, it’s not as bad as $16 for a solitary baked good.Also, O’Reilly made his remarks to Jon Stewart on Sept. 28, after Hilton issued its first statement on Sept. 23 saying the invoices may not have been complete. So the report was under question when O’Reilly debated Stewart. (We contacted O’Reilly for comment, but we didn’t hear back.)Because the federal government didn't pay $16 for a muffin even if it paid too much for breakfast, we rate O’Reilly’s statement Mostly False.","The evidence provided from the inspector general's report states that the $4,200 invoiced to the department for 250 muffins actually included additional food and beverage items such as coffee, tea, and fruit. The hotel's statement explaining their billing practices supports this interpretation. Therefore, the claim that the government ""ordered 250 muffins at 16 bucks a piece"" is inaccurate.",0.5765798720907658
"Cruz said Donald Trump has written 10 checks to Hillary Clinton ""and four of those checks were not to her Senate campaign. … It was to her presidential campaign."" He has a point that Trump has made multiple campaign donations to Clinton, but he overstated the amounts. Trump ended up making five donations worth $4,100 to Clinton’s Senate campaign, and two donations worth $2,300 to her presidential campaign. The presidential donations were eventually refunded in their entirety. We rate Cruz’s statement Half True.","According to the evidence provided, Donald Trump has written 7 checks to Hillary Clinton, not 10. Additionally, only 2 of these checks were to her presidential campaign, not 4. The other donations were made to her Senate campaign.",0.6566132724285126
"Warner said, ""Right now, America has $1.1 trillion of student debt. That’s more than credit card debt."" His figure on student debt is accurate and total U.S. credit card debt in the first quarter of this year was $659 billion. We rate Warner’s statement True.","The evidence provided shows that the Federal Reserve Bank of New York's data from the first quarter of 2014 indicates that student loan debt totaled $1.1 trillion, while credit card debt hit $659 billion. This confirms Senator Mark Warner's claim that ""Right now, America has $1.1 trillion of student debt. That’s more than credit card debt.""",0.8396953552299076
"The Democratic legislators wrote that nearly 45 percent of women who received health screenings through the targeted family-planning program in fiscal 2010 had them at Planned Parenthood clinics. That could be so, but we identified a couple of unsettled hitches. According to the state, 46 percent of the cited program’s clients went to a Planned Parenthood clinic, but the state has no breakdown of the number of women who were screened overall, which is what the Democrats focused on. Also, the Democrats’ statement implies that 46 percent of women rely on Planned Parenthood exclusively for screenings, but some women included in the 46 percent could have had screenings at a different kind of clinic, though (again) such details are not available. We rate the claim Half True.","The evidence provided shows that 49,162 (or 46.1%) of the 106,711 women served by the Women's Health Program in fiscal 2010 received a service from a Planned Parenthood clinic, but it is unclear if all these services were health screenings or if some clients received exams and screenings from both Planned Parenthood and non-Planned Parenthood providers.",0.7358117956381578
"Republican congressional candidate Brendan Doherty said to Cicilline, ""The Providence Economic Development Partnership . . . which you chaired, loaned $103,000 in taxpayer funds to one of your campaign workers. The worker never paid back the loan.""It’s true the worker, Ramirez, never paid back the loan. However, Doherty’s statement implies the city got nothing back when in fact it recouped most of his loan obligation.Because the statement is accurate but needs clarification or additional information, we rate it Mostly True.","The evidence provided shows that the Providence Economic Development Partnership, which David Cicilline chaired, loaned $103,000 to Erasmo Ramirez, a campaign worker of Cicilline's, for his business venture. While it was initially reported that the loan was repaid in full, further investigation revealed that Ramirez never actually paid back the loan directly, but rather through the title insurance company after the development agency received a check to cover most of the debt and waived the remaining amount owed due to bankruptcy proceedings.",0.6444920359363019
"Fan said every dollar of foreign aid for agricultural research ""will bring $4 in trade with the countries and the United States ... generating employment back in the U.S."" A 1996 article supports most of that assertion except for the part about all the trade being with the United States. However, that article is 20 years old and we could find no other study that mirrored its findings. The leading agricultural researchers we reached told us that in some countries, that general result might come about, but it varies from place to place and it is difficult to show the connection to foreign aid in the agricultural research sector. So Fan went too far on three points: the 4-to-1 payback, the amount of trade with the United States and the idea that this general rule applies to most countries when it is actually less predictable. We rate this claim Mostly False.","The evidence suggests that there is no clear or consistent relationship between foreign aid for agricultural research and increased exports for American firms. While Fan cites a 1996 article suggesting that every $1 invested in agricultural research can bring $4.39 in additional imports, other studies have failed to replicate this finding, including the 2006 analysis from the Australian Centre for International Agricultural Research, which found a more modest 1-to-1 payback on trade. Furthermore, experts interviewed by the publication expressed skepticism about Fan's claim, with some noting that while foreign aid can lead to increased productivity and rising incomes in developing countries, there is no clear causal chain linking this to increased exports for American firms.",0.6291419308824637
"Brooks said, ""We have at least 200,000 to 300,000 hate crimes in a given year."" Looking at the National Crime Victimization Survey does confirm his claim, with a 2012 report finding nearly 300,000 estimated victims of hate crime. And while the FBI’s Uniform Crime Reporting Program, an alternative method of data collection on hate crime, only found around 6,000 reported hate crimes in 2012, experts said it’s widely accepted that crimes are underreported with this method, mainly because of police non-participation and miscategorization. Admittedly, the survey does carry its own flaws related to possible overcounting, but experts tend to agree that it comes closer to accurately estimating the total number of hate crimes. We rate Brooks’statement Mostly True.","The evidence provided, particularly the National Crime Victimization Survey's estimate of 293,800 hate crime victimizations in 2012, supports Brooks' claim that there are at least 200,000 to 300,000 hate crimes in a given year. While the FBI's Uniform Crime Reporting Program reported significantly lower numbers, experts cite underreporting due to agency non-participation and inability of police officers to properly identify hate crimes as contributing factors to this discrepancy.",0.7605182677156785
"Johnson said Israel cut its illegal immigration rate by ""99 percent"" by constructing a 143-mile fence along its southern border. Israeli government data support Johnson’s statement. However, experts say the fence alone is not responsible for the dramatic decrease in illegal immigration, policies have also deterred illegal border crossings. Border security experts also caution about comparing Israel and the United States’ southern borders -- the U.S.-Mexico border is much longer than the Israel-Egypt border, terrain conditions are different and more agents would be needed to monitor the U.S. border. Johnson’s statement is accurate, but needs additional information. We rate it Mostly True.","The evidence provided from multiple sources, including articles from the Jerusalem Post and a report by Sen. Ron Johnson, confirm that Israel did build a 143-mile fence along its southern border with Egypt and that it was successful in reducing illegal immigration from over 16,000 in 2011 to less than 20 in 2016, a decrease of approximately 99%.",0.7137765477842359
"TCE’s handout says thatmost of Austin’s biggest parks have recycling though as ""many as 293 out of 300"" Austin city ""parks have no recycling, including almost every neighborhood park."" City figures support this analysis. The city hasn’t funded a parks recycling program. We rate the statement True. TRUE – The statement is accurate and there’s nothing significant missing. Click here for more on the six PolitiFact ratings and how we select facts to check.","The evidence provided from the Texas Campaign for the Environment handout claims that as many as 293 out of 300 parks have no recycling, while city officials and records indicate that there are some parks with recycling. Additionally, city documents mention a pilot program that has introduced recycling to several large parks and facilities. However, it is also stated by Andrew Dobbs that the campaign is not ""100% certain"" if other parks might have recycling added on an ad hoc basis.",0.6603368249432795
"Obama’s ad is accurate in stating that the president imposed trade sanctions against China in an effort to protect American workers and ""Mitt Romney attacked Obama's decision.""But did the tariffs work? That’s less clear. Romney said the result was ""bad for our workers,"" and there are studies that back him up. Even with tire-making jobs that were saved, one analysis found that the higher price of tires depressed spending on other retail, and ultimately led to a loss in retail jobs.The statement in the ad is accurate, but it needs additional information about the tire tariff’s effect. We rate it Mostly True.","The evidence supports the claim that President Obama imposed a 35% tariff on Chinese tire imports to protect American workers, which was criticized by Mitt Romney as protectionist and bad for the nation. A study by the Peterson Institute for International Economics found that the tariffs saved up to 1,200 domestic jobs, although other analysis suggests that the overall effect of the tariffs may have been negative, resulting in a net loss of around 2,531 jobs.",0.5446332972726704
"A recent segment on The Colbert Report shows Christie emphasizing his work as governor by saying New Jersey has gained ""143,000 new private-sector jobs."" BLS data and an analysis by a Rutgers economics professor back up Christie’s figure, which is rounded up a bit from the actual figure of 142,400 new private-sector jobs created. The governor’s overall point is that private-sector employment in New Jersey is increasing, and he’s right. We rate the statement True. To comment on this story, go to NJ.com.","The evidence provided states that Christie's number is ""generally accurate"" according to the U.S. Bureau of Labor Statistics, with a slight rounding up from 142,400 jobs gained in New Jersey between February 2010 and August 2013. The data also matches employment numbers on the New Jersey Department of Labor and Workforce Development website.",0.5559881940720574
"U.S. Sen. Jack Reed, D-R.I., said, of North Korea: ""They have a substantial standing army, one of the largest, certainly the largest per capita, in the world."" Numerous publicly available documents support his claim. We rate it True.","According to multiple sources, including U.S. Department of Defense reports, Congressional statements, and The Economist's graphic data, North Korea has one of the largest militaries in terms of sheer manpower, ranking fourth behind China, the United States, and India. Additionally, when considering military personnel per capita, North Korea is the most heavily militarized nation with approximately 49 military personnel for every 1,000 citizens.",0.6578579445318742
"The Facebook meme said that ""794 law enforcement officers have fallen in the line of duty since B.H. Obama took office, with no special recognition from the White House."" While the meme offered a reasonable approximation for the number of fallen officers, the meat of its accusation -- that Obama has ignored the suffering of law enforcement officers killed in action -- is demonstrably wrong. We found at least six instances in which Obama honored the lives of fallen officers in writing or in speeches. Archived information about these events was easily available to the public on the White House website, meaning that the meme’s creator was reckless in not taking them into account. We rate the claim Pants on Fire.","The evidence provided shows that there have been instances of White House ""special recognition"" for fallen law enforcement officers during President Obama's term, including multiple presidential proclamations and remarks at memorial services. This contradicts the claim made in the meme that the White House has given no special recognition to fallen officers.",0.6352766580581666
"Contrary to Begala’s claim, Romney was not zeroing in on how he would fare under Ryan’s tax plan when he said he would have paid no taxes the past two years under ""that plan."" He spoke instead to Gingrich’s proposal to eliminate capital gains taxes for all taxpayers -- which Romney does not advocate.Like Gingrich, though, Ryan calls for wiping out the capital gains tax for everyone, leaving this claim with an element of truth. We rate the statement Mostly False. UPDATE, 11:20 am, Aug. 14, 2012: After we posted this article, we were happy to hear back about Begala’s source for his claim. We added that information to the article. Our rating is unchanged.","The evidence shows that during the January 2012 debate, Mitt Romney was referring to a tax plan advocated by Newt Gingrich, which would have set a 0% tax rate on capital gains. He stated that ""Under that plan, I'd have paid no taxes in the last two years."" This is not equivalent to saying his tax rate under Paul Ryan's plan would have been 0%, as Romney was specifically referencing Gingrich's proposal.",0.6791294015836025
